id	source	utterance	classes
356	6	Start by reading the preliminary information	OTHER
357	6	"""Hello Ms. Klein, I am responsible for you in the emergency room today. What can I do for you?"""	OTHER
358	6	Since yesterday afternoon?	OTHER
359	6	Hmm, but the shortness of breath only came while you were sleeping, when you lay down?	OTHER
360	6	Have you ever laid down during the day when you feel so bad?	OTHER
361	6	And how did it start? They went jogging but everything was ok and after that...	OTHER
362	6	And then all of a sudden?	MS
363	6	And lately, have you had any infection or anything recently?	PH
364	6	Anyone in your area?	PH
365	6	Nobody at work either?	PH
366	6	Also sputum?	PH
367	6	And do you have a fever too?	SR
368	6	And what did you take?	SR
369	6	Are you taking any other medications?	AM
370	6	So if necessary, nothing regular?	AM
371	6	Do you know what you're taking?	AM
372	6	Ok, but your blood pressure was currently good, so are you taking it regularly?	AM
373	6	Have you never had any side effects from the medication?	OTHER
374	6	Do you have any allergies?	AM
375	6	No medication, no hay fever?	AM
376	6	Ok, and do you have any other pre-existing conditions? You have high blood pressure...	PH
377	6	Are you taking anything for anemia?	PH
378	6	Are you still bleeding at the moment? Right now too, okay.	OTHER
379	6	And no other previous illnesses?	PH
380	6	Anything known in the family?	SF
381	6	On the heart, lungs...	SF
382	6	Have you traveled recently?	OTHER
383	6	And also no contact with any sick people?	OTHER
384	6	What do you do for a living?	SF
385	6	Ok, you don't have one either...	SF
386	6	But now you don't have any pressure on your chest or anything like that?	OTHER
387	6	In the right side?	OTHER
388	6	No (laughs)	OTHER
389	6	What is the best storage for it?	OTHER
390	6	Ok, but you don't have anything else on your back? So this is really breathing?	OTHER
391	6	Ok, so you didn't misspeak or anything?	OTHER
392	6	Do you have any other complaints anywhere else? So you now have breathing-dependent symptoms	MS
393	6	Have you ever had this type of headache?	OTHER
394	6	Ok, that's all, but it's something you don't know about yourself	OTHER
395	6	And otherwise, any burning or blood when urinating?	SR
396	6	Ok, so no infection like that?!	SR
397	6	And is there anything that makes you breathe better? Have you tried anything there?	OTHER
398	6	And are you not aware of any coagulation disorders?	PH
399	6	Have you noticed heart palpitations or extreme palpitations?	SR
400	6	But you didn't faint?	MS
401	6	And haven't you even had one yet?	MS
402	6	How did high blood pressure become known?	MS
403	6	So even during a check-up, you had no complaints.	MS
404	6	And haven't you been exposed to any stress recently?	SF
405	6	Has your weight been consistent?	SR
406	6	And haven't you had a fever recently?	SR
407	6	Do you also have difficulty swallowing?	OTHER
408	6	And some kind of earache?	OTHER
2448	40	Did it just come tonight?	MS
2449	40	And all the days before that were completely normal?	OTHER
2450	40	And did you have to go to the toilet last night?	OTHER
2451	40	And also the nights before?	OTHER
2452	40	And did you have shortness of breath when you were lying in bed or when you went to the toilet?	OTHER
2453	40	Ok I understand. But as you walk it gets worse or does it...?	MS
2454	40	Ok, but you always have to raise your upper body further?	MS
2455	40	Do you have... how many pillows do you sleep with at night?	OTHER
2456	40	Oh, then you didn't sleep in bed?	OTHER
2457	40	Yes, but was that the first time?	OTHER
2458	40	And did you have any other... Did you have swollen legs or something like that?	SR
2459	40	It doesn't look swollen now	OTHER
2460	40	Never?	OTHER
2461	40	And have you never had any other problems when moving around, shopping, or going for a walk?	OTHER
2462	40	What kind of medication are you taking?	AM
2463	40	And what... how long have you been taking this for your diabetes?	OTHER
2464	40	And you never take anything else? Don't you take anything?	AM
2465	40	Have you ever had other illnesses or previous illnesses?	PH
2466	40	What kind of surgeries did you have?	PH
2467	40	Thyroid out and now you're taking thyroid medication?	AM
2468	40	And cesarean section. How many children do you have?	SF
2469	40	Four children?	OTHER
2470	40	And the others without a cesarean section?	OTHER
2471	40	And how old are the children?	OTHER
2472	40	And do you live alone or with your husband?	SF
2473	40	And the children then live with you on the farm?	OTHER
